#units_crtutorial2						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
1	2 3		worker_lowskill 1		60	75
1	2 3		worker_lowskill 0.75 worker 0.25		60	75
1	2 2	drone_civ 1	worker_lowskill 1		60	75
1	2 3	medic 1	worker_lowskill 1		30	90
1	2 3	drone_civ 1	worker 1		30	90
1	2 3	medic 1	worker 0.5 worker_lowskill 0.5		30	90
1	3 3	drone_civ 1	worker_lowskill 1		15	120
1	2 3	security 1	worker 0.85 drone_civ 0.15		15	120
1	2 3	medic 1	worker_lowskill 1		15	120
1	3 3	drone_civ  1	worker 0.5 worker_lowskill 0.25 security 0.25		10	150
1	2 3	drone_civ 1	drone_civ 1		10	150
#end						
						
#units_ComAndAnarchy1						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
6	2 3	security 1	security 0.5 soldier 0.5		60	45
6	2 3	combatmedic 1	security 1		60	45
6	2 3	security 1	security 0.5 soldier 0.5		60	45
6	2 3	warrobot 1	soldier 1		30	60
6	2 3	combatmedic 1	security 0.5 soldier 0.5		30	60
6	2 2	elite_rwa 1	heavysecurity 1		30	60
6	2 3	warrobot 1	heavysecurity 1		10	90
6	2 2	elite_rwa 1	security 1		10	90
#end						
						
#units_ComAndAnarchy2						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
3	2 2	possessed 1	possessed 1		60	45
3	1 2	venus_eagle_knight 1	bigpossessed_centaur 1		60	45
3	2 2	bigpossessed_arm 1	venus_custodian 1		60	45
3	1 2	venus_jaguar_knight 1	venus_jaguar_knight 1		30	60
3	2 2	venus_jaguar_knight 1	venus_demon_cat 0.75 bigpossessed_arm 0.25		30	60
3	2 2	bigpossessed_blob 1	bigpossessed_arm 1		30	60
3	2 2	venus_jaguar_knight 1	venus_jaguar_knight 1		20	60
3	1 2	venus_demon_warrior 1	venus_eagle_knight 1		20	60
3	1 2	venus_taskmaster 1	venus_taskmaster 0.25 venus_custodian 0.75		20	60
3	2 2	venus_demon_warrior 1	venus_demon_warrior 1		10	75
#end						
						
#units_ManifestoElites						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
6	3 4	elite_sbn 1	heavysecurity 0.5 security 0.5		60	45
6	3 4	elite_sbn 1	elite_sbn 0.8 security 0.2		60	45
6	3 4	elite_sbn 1	elite_sbn 0.5 soldier 0.5		60	45
#end						
						
#units_ManifestoPmc						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
6	3 4	soldier 1	soldier 1		60	45
6	3 4	heavysecurity 1	heavysecurity 0.5 soldier 0.5		60	45
6	3 4	combatmedic 1	soldier 1		60	45
6	3 4	heavysecurity 1	combatmedic 0.25 soldier 0.75		60	45
#end						
						
#units_ManifestoDefence						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
6	4 4	heavysecurity 1	recreationrobot 0.5 elite_sbn 0.25 heavysecurity 0.25		60	45
6	3 4	soldier 1	manager 0.25 soldier 0.25 heavysecurity 0.25		60	45
6	3 4	elite_sbn 1	heavysecurity 0.6 enforcer 0.25 combatmedic 0.15		60	45
#end						
						
#units_GhoulshipRegular						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
4	2 3	medic 1	turretbalistic 0.25 security 0.75		60	45
4	2 3	heavysecurity 1	worker 0.25 security 0.25 heavysecurity 0.5		60	45
4	3 3		worker 1		60	45
4	2 3	heavysecurity 1	heavysecurity 1		60	45
4	2 3		heavysecurity 1		60	45
4	2 3		soldier 0.25 worker 0.25 security 0.5		60	45
4	3 3	combatmedic 1	medic 0.25 manager 0.25 security 0.5		60	45
4	2 3		security 0.25 heavysecurity 0.25 worker 0.5		60	45
4	3 3	elite_cor 1	heavysecurity 0.75 warrobot 0.25		60	45
